"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Code\vega-app\src\App.css", "CSS", 0, 0, 191, 6, 17, 214
"d:\Code\vega-app\src\App.js", "JavaScript", 61, 0, 0, 0, 4, 65
"d:\Code\vega-app\src\NotFound.js", "JavaScript", 9, 0, 0, 0, 2, 11
"d:\Code\vega-app\src\about\About.js", "JavaScript", 59, 0, 0, 0, 6, 65
"d:\Code\vega-app\src\about\HeroSection.js", "JavaScript", 72, 0, 0, 0, 5, 77
"d:\Code\vega-app\src\blog\Blog.js", "JavaScript", 59, 0, 0, 0, 6, 65
"d:\Code\vega-app\src\blog\HeroSection.js", "JavaScript", 72, 0, 0, 0, 5, 77
"d:\Code\vega-app\src\careers\Careers.js", "JavaScript", 62, 0, 0, 0, 6, 68
"d:\Code\vega-app\src\careers\HeroSection.js", "JavaScript", 72, 0, 0, 0, 5, 77
"d:\Code\vega-app\src\common\Body.js", "JavaScript", 21, 0, 0, 0, 3, 24
"d:\Code\vega-app\src\common\Card.js", "JavaScript", 34, 0, 0, 0, 3, 37
"d:\Code\vega-app\src\common\ContainedButton.js", "JavaScript", 39, 0, 0, 0, 3, 42
"d:\Code\vega-app\src\common\Footer.js", "JavaScript", 123, 0, 0, 0, 7, 130
"d:\Code\vega-app\src\common\Headline.js", "JavaScript", 29, 0, 0, 0, 2, 31
"d:\Code\vega-app\src\common\HeroContainer.js", "JavaScript", 41, 0, 0, 0, 5, 46
"d:\Code\vega-app\src\common\NavMain.js", "JavaScript", 323, 0, 0, 9, 23, 355
"d:\Code\vega-app\src\common\OutlinedButton.js", "JavaScript", 8, 0, 0, 0, 3, 11
"d:\Code\vega-app\src\common\Specs.js", "JavaScript", 42, 0, 0, 0, 3, 45
"d:\Code\vega-app\src\common\Subtitle.js", "JavaScript", 18, 0, 0, 0, 2, 20
"d:\Code\vega-app\src\common\TextButton.js", "JavaScript", 44, 0, 0, 0, 3, 47
"d:\Code\vega-app\src\common\Typeset.js", "JavaScript", 22, 0, 0, 0, 4, 26
"d:\Code\vega-app\src\common\libraryStack.js", "JavaScript", 154, 0, 0, 37, 37, 228
"d:\Code\vega-app\src\common\svg\about.svg", "XML", 0, 3, 0, 0, 1, 4
